Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Ensuring protocol compliance and data transparency in clinical trials using Blockchain smart contracts","BMC Medical Research Methodology","","20","1","10.1186/s12874-020-01109-5","Ilhaam A. OmarRaja JayaramanKhaled SalahMecit Can Emre SimseklerIbrar YaqoobSamer Ellahham","2020","http://link.springer.com/article/10.1186/s12874-020-01109-5","Article"
"Applications of Blockchain Technology in Clinical Trials: Review and Open Challenges","Arabian Journal for Science and Engineering","","","","10.1007/s13369-020-04989-3","Ilhaam A. OmarRaja JayaramanKhaled SalahIbrar YaqoobSamer Ellahham","2020","http://link.springer.com/article/10.1007/s13369-020-04989-3","Article"
"Blockchain in IoT: Current Trends, Challenges, and Future Roadmap","Journal of Hardware and Systems Security","","3","4","10.1007/s41635-019-00079-5","Pinchen CuiUjjwal GuinAnthony SkjellumDavid Umphress","2019","http://link.springer.com/article/10.1007/s41635-019-00079-5","Article"
"Blockchain Paradigm and Internet of Things","Wireless Personal Communications","","106","1","10.1007/s11277-019-06270-9","Valentin RakovicJovan KaramachoskiVladimir AtanasovskiLiljana Gavrilovska","2019","http://link.springer.com/article/10.1007/s11277-019-06270-9","Article"
"Towards developing a secure medical image sharing system based on zero trust principles and blockchain technology","BMC Medical Informatics and Decision Making","","20","1","10.1186/s12911-020-01275-y","Maliha SultanaAfrida HossainFabiha LailaKazi Abu TaherMuhammad Nazrul Islam","2020","http://link.springer.com/article/10.1186/s12911-020-01275-y","Article"
"Unification of Blockchain and Internet of Things (BIoT): requirements, working model, challenges and future directions","Wireless Networks","","","","10.1007/s11276-020-02445-6","Bharat BhushanChinmayee SahooPreeti SinhaAditya Khamparia","2020","http://link.springer.com/article/10.1007/s11276-020-02445-6","Article"
"Blockchain Technology: Principles and Applications in Medical Imaging","Journal of Digital Imaging","","33","3","10.1007/s10278-019-00310-3","Morgan P. McBeeChad Wilcox","2020","http://link.springer.com/article/10.1007/s10278-019-00310-3","Article"
"A survey on boosting IoT security and privacy through blockchain","Cluster Computing","","","","10.1007/s10586-020-03137-8","Omar AlfandiSalam KhanjiLiza AhmadAsad Khattak","2020","http://link.springer.com/article/10.1007/s10586-020-03137-8","Article"
"The quality traceability system for prefabricated buildings using blockchain: An integrated framework","Frontiers of Engineering Management","","","","10.1007/s42524-020-0127-z","Ziyao ZhangZhenmin YuanGuodong NiHan LinYujie Lu","2020","http://link.springer.com/article/10.1007/s42524-020-0127-z","Article"
"Secure decentralized peer-to-peer training of deep neural networks based on distributed ledger technology","The Journal of Supercomputing","","76","12","10.1007/s11227-020-03251-9","Amin FadaeddiniBabak MajidiMohammad Eshghi","2020","http://link.springer.com/article/10.1007/s11227-020-03251-9","Article"
"Studying gas exceptions in blockchain-based cloud applications","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00176-9","Chao LiuJianbo GaoYue LiHuihui WangZhong Chen","2020","http://link.springer.com/article/10.1186/s13677-020-00176-9","Article"
"Developing a comprehensive information security framework for mHealth: a detailed analysis","Journal of Reliable Intelligent Environments","","3","1","10.1007/s40860-017-0038-x","Nattaruedee VithanwattanaGlenford MappCarlisle George","2017","http://link.springer.com/article/10.1007/s40860-017-0038-x","Article"
"Information retrieval: a view from the Chinese IR community","Frontiers of Computer Science","","15","1","10.1007/s11704-020-9159-0","Zhumin ChenXueqi ChengShoubin DongZhicheng DouJiafeng GuoXuanjing HuangYanyan LanChenliang LiRu LiTie-Yan LiuYiqun LiuJun MaBing QinMingwen WangJirong WenJun Xu","2020","http://link.springer.com/article/10.1007/s11704-020-9159-0","Article"
