Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Privacy Preserved Decentralized Deep Learning: A Blockchain Based Solution for Secure AI-Driven Enterprise","High-Performance Computing and Big Data Analysis","","","","10.1007/978-3-030-33495-6_3","Amin FadaeddiniBabak MajidiMohammad Eshghi","2019","http://link.springer.com/chapter/10.1007/978-3-030-33495-6_3","Chapter"
"Decentralized Autonomous Organizations = Blockchain + AI + IoT","How to Compete in the Age of Artificial Intelligence","","","","10.1007/978-1-4842-3808-0_9","Soumendra MohantySachin Vyas","2018","http://link.springer.com/chapter/10.1007/978-1-4842-3808-0_9","Chapter"
"AI and Blockchain","An Introduction to Data","","","","10.1007/978-3-030-04468-8_11","Francesco Corea","2019","http://link.springer.com/chapter/10.1007/978-3-030-04468-8_11","Chapter"
"Internet of Things and Blockchain Integration: Use Cases and Implementation Challenges","Business Information Systems Workshops","","","","10.1007/978-3-030-36691-9_25","Kelechi G. EzeCajetan M. AkujuobiMatthew N. O. SadikuMohamed ChouikhaShumon Alam","2019","http://link.springer.com/chapter/10.1007/978-3-030-36691-9_25","Chapter"
"Secure decentralized peer-to-peer training of deep neural networks based on distributed ledger technology","The Journal of Supercomputing","","","","10.1007/s11227-020-03251-9","Amin FadaeddiniBabak MajidiMohammad Eshghi","2020","http://link.springer.com/article/10.1007/s11227-020-03251-9","Article"
"The Convergence of AI and Blockchain","Applied Artificial Intelligence: Where AI Can Be Used In Business","","","","10.1007/978-3-319-77252-3_4","Francesco Corea","2019","http://link.springer.com/chapter/10.1007/978-3-319-77252-3_4","Chapter"
"Rethinking Decentralised Identifiers and Verifiable Credentials for the Internet of Things","Internet of Things, Smart Computing and Technology: A Roadmap Ahead","","","","10.1007/978-3-030-39047-1_16","Parikshit N. MahalleGitanjali ShindePathan Mohd Shafi","2020","http://link.springer.com/chapter/10.1007/978-3-030-39047-1_16","Chapter"
"Artificial Intelligence and Blockchain for Transparency in Governance","Artificial Intelligence for Sustainable Development: Theory, Practice and Future Applications","","","","10.1007/978-3-030-51920-9_11","Mohammed AlShamsiSaid A. SalloumMuhammad AlshuridehSherief Abdallah","2021","http://link.springer.com/chapter/10.1007/978-3-030-51920-9_11","Chapter"
"Blockchain-Based Privacy Preserving Deep Learning","Information Security and Cryptology","","","","10.1007/978-3-030-14234-6_20","Xudong ZhuHui LiYang Yu","2019","http://link.springer.com/chapter/10.1007/978-3-030-14234-6_20","Chapter"
"Blockchains","Ethereum for Web Developers","","","","10.1007/978-1-4842-5278-9_1","Santiago Palladino","2019","http://link.springer.com/chapter/10.1007/978-1-4842-5278-9_1","Chapter"
"Unification of Blockchain and Internet of Things (BIoT): requirements, working model, challenges and future directions","Wireless Networks","","","","10.1007/s11276-020-02445-6","Bharat BhushanChinmayee SahooPreeti SinhaAditya Khamparia","2020","http://link.springer.com/article/10.1007/s11276-020-02445-6","Article"
"Towards Blockchain-Enabled Security Technique for Industrial Internet of Things Based Decentralized Applications","Journal of Grid Computing","","","","10.1007/s10723-020-09527-x","Ali Hassan SodhroSandeep PirbhulalMuhammad MuzammalLuo Zongwei","2020","http://link.springer.com/article/10.1007/s10723-020-09527-x","Article"
"Blockchain Technologies and Artificial Intelligence","Advanced Applications of Blockchain Technology","","","","10.1007/978-981-13-8775-3_12","Sundaresan MuthukrishnanBoopathy Duraisamy","2020","http://link.springer.com/chapter/10.1007/978-981-13-8775-3_12","Chapter"
"Blockchain-Based Decentralized Business Models in the Sharing Economy: A Technology Adoption Perspective","Business Transformation through Blockchain","","","","10.1007/978-3-319-98911-2_3","Andranik TumasjanTheodor Beutel","2019","http://link.springer.com/chapter/10.1007/978-3-319-98911-2_3","Chapter"
"Decentralizing the Social Web","Internet Science","","","","10.1007/978-3-030-17705-8_16","Harry Halpin","2019","http://link.springer.com/chapter/10.1007/978-3-030-17705-8_16","Chapter"
"Towards Enabling Trusted Artificial Intelligence via Blockchain","Policy-Based Autonomic Data Governance","","","","10.1007/978-3-030-17277-0_8","Kanthi SarpatwarRoman VaculinHong MinGong SuTerry HeathGiridhar GanapavarapuDonna Dillenberger","2019","http://link.springer.com/chapter/10.1007/978-3-030-17277-0_8","Chapter"
"Technology Underlying Cryptocurrencies and Types of Cryptocurrencies","Regulation of Cryptocurrencies and Blockchain Technologies","","","","10.1007/978-3-319-78509-7_2","Rosario Girasa","2018","http://link.springer.com/chapter/10.1007/978-3-319-78509-7_2","Chapter"
"Blockchain and society","Informatik Spektrum","","43","1","10.1007/s00287-020-01246-7","Toni Caradonna","2020","http://link.springer.com/article/10.1007/s00287-020-01246-7","Article"
"A Blockchain-Based Resource Supervision Scheme for Edge Devices Under Cloud-Fog-End Computing Models","Information Security and Privacy","","","","10.1007/978-3-030-55304-3_15","Tongchen WangJianwei LiuDawei LiQianhong Wu","2020","http://link.springer.com/chapter/10.1007/978-3-030-55304-3_15","Chapter"
"Blockchain for Security Issues of Internet of Things (IoT)","Principles of Internet of Things (IoT) Ecosystem: Insight Paradigm","","","","10.1007/978-3-030-33596-0_24","Riya SapraParneeta Dhaliwal","2020","http://link.springer.com/chapter/10.1007/978-3-030-33596-0_24","Chapter"
"A Prototype Framework for Assessing Information Provenance in Decentralised Social Media: The EUNOMIA Concept","E-Democracy – Safeguarding Democracy and Human Rights in the Digital Age","","","","10.1007/978-3-030-37545-4_13","Lazaros ToumanidisRyan HeartfieldPanagiotis KasnesisGeorge LoukasCharalampos Patrikakis","2020","http://link.springer.com/chapter/10.1007/978-3-030-37545-4_13","Chapter"
"The Utilization of Blockchain for Enhancing Big Data Security and Veracity","Combating Security Challenges in the Age of Big Data","","","","10.1007/978-3-030-35642-2_8","Satriyo WibowoArwin Datumaya Wahyudi Sumari","2020","http://link.springer.com/chapter/10.1007/978-3-030-35642-2_8","Chapter"
"Puzzles and Exercises","Unlocking Blockchain on Azure","","","","10.1007/978-1-4842-5043-3_10","Shilpa Karkeraa","2020","http://link.springer.com/chapter/10.1007/978-1-4842-5043-3_10","Chapter"
"A Systematic Review for Enabling of Develop a Blockchain Technology in Healthcare Application: Taxonomy, Substantially Analysis, Motivations, Challenges, Recommendations and Future Direction","Journal of Medical Systems","","43","10","10.1007/s10916-019-1445-8","H. M. HussienS. M. YasinS. N. I. UdzirA. A. ZaidanB. B. Zaidan","2019","http://link.springer.com/article/10.1007/s10916-019-1445-8","Article"
"Security Vulnerabilities in Traditional Wireless Sensor Networks by an Intern in IoT, Blockchain Technology for Data Sharing in IoT","Principles of Internet of Things (IoT) Ecosystem: Insight Paradigm","","","","10.1007/978-3-030-33596-0_23","V. ManjulaR. Thalapathi Rajasekaran","2020","http://link.springer.com/chapter/10.1007/978-3-030-33596-0_23","Chapter"
"Anomaly detection via blockchained deep learning smart contracts in industry 4.0","Neural Computing and Applications","","","","10.1007/s00521-020-05189-8","Konstantinos DemertzisLazaros IliadisNikos TziritasPanagiotis Kikiras","2020","http://link.springer.com/article/10.1007/s00521-020-05189-8","Article"
"Data As An Asset","Blockchain, Artificial Intelligence and Financial Services","","","","10.1007/978-3-030-29761-9_17","Sean Stein Smith","2020","http://link.springer.com/chapter/10.1007/978-3-030-29761-9_17","Chapter"
"Economic Incentive Structure for Blockchain Network","Smart Blockchain","","","","10.1007/978-3-030-05764-0_13","Huanhuan ShengXiang FanWei HuXing LiuKai Zhang","2018","http://link.springer.com/chapter/10.1007/978-3-030-05764-0_13","Chapter"
"Proposal for a New Participatory Creative Production Model","Online Film Production in China Using Blockchain and Smart Contracts","","","","10.1007/978-3-030-02468-0_10","Patrice Poujol","2019","http://link.springer.com/chapter/10.1007/978-3-030-02468-0_10","Chapter"
"Blockchain Applications in Supply Chain","SMART Supply Network","","","","10.1007/978-3-319-91668-2_2","Davor DujakDomagoj Sajter","2019","http://link.springer.com/chapter/10.1007/978-3-319-91668-2_2","Chapter"
"The Revolution of Blockchain: State-of-the-Art and Research Challenges","Archives of Computational Methods in Engineering","","","","10.1007/s11831-020-09426-0","Suyel NamasudraGanesh Chandra DekaPrashant JohriMohammad HosseinpourAmir H. Gandomi","2020","http://link.springer.com/article/10.1007/s11831-020-09426-0","Article"
"Barter to Blockchain","R3 Corda for Architects and Developers","","","","10.1007/978-1-4842-4529-3_1","Debajani Mohanty","2019","http://link.springer.com/chapter/10.1007/978-1-4842-4529-3_1","Chapter"
"Can Blockchain Technology Enhance Security and Privacy in the Internet of Things?","Advances in Core Computer Science-Based Technologies","","","","10.1007/978-3-030-41196-1_10","Georgios SpathoulasLydia NegkaPankaj PandeySokratis Katsikas","2021","http://link.springer.com/chapter/10.1007/978-3-030-41196-1_10","Chapter"
"Towards Blockchain-Based GDPR-Compliant Online Social Networks: Challenges, Opportunities and Way Forward","Advances in Information and Communication","","","","10.1007/978-3-030-39445-5_10","Javed AhmedSule YildirimMariusz NowostawskiMohamed AbomharaRaghavendra RamachandraOgerta Elezaj","2020","http://link.springer.com/chapter/10.1007/978-3-030-39445-5_10","Chapter"
"Selected Scenarios for a Crypto-AI World","The Future of Finance","","","","10.1007/978-3-030-14533-0_19","Henri ArslanianFabrice Fischer","2019","http://link.springer.com/chapter/10.1007/978-3-030-14533-0_19","Chapter"
"Fintech and Procurement Finance 4.0","Procurement Finance","","","","10.1007/978-3-030-02140-5_6","Bernardo Nicoletti","2018","http://link.springer.com/chapter/10.1007/978-3-030-02140-5_6","Chapter"
"Blockchain, TTP Attacks and Harmonious Relationship with AI","Cyber Defence in  the Age of AI, Smart Societies and Augmented Humanity","","","","10.1007/978-3-030-35746-7_10","Stefan KendzierskyjHamid Jahankhani","2020","http://link.springer.com/chapter/10.1007/978-3-030-35746-7_10","Chapter"
"Basics of Blockchain","Blockchain and Supply Chain Logistics","","","","10.1007/978-3-030-47531-4_2","Nachiappan SubramanianAtanu ChaudhuriYaşanur Kayikci","2020","http://link.springer.com/chapter/10.1007/978-3-030-47531-4_2","Chapter"
"Health Information Exchange","Health Informatics on FHIR: How HL7's New API is Transforming Healthcare","","","","10.1007/978-3-319-93414-3_5","Mark L. Braunstein","2018","http://link.springer.com/chapter/10.1007/978-3-319-93414-3_5","Chapter"
"The Age of Foodtech: Optimizing the Agri-Food Chain with Digital Technologies","Achieving the Sustainable Development Goals Through Sustainable Food Systems","","","","10.1007/978-3-030-23969-5_10","Andrea Renda","2019","http://link.springer.com/chapter/10.1007/978-3-030-23969-5_10","Chapter"
"Introduction: Legal and Ethical Dimensions of AI, NorMAS, and the Web of Data","AI Approaches to the Complexity of Legal Systems","","","","10.1007/978-3-030-00178-0_1","Ugo PagalloMonica PalmiraniPompeu CasanovasGiovanni SartorSerena Villata","2018","http://link.springer.com/chapter/10.1007/978-3-030-00178-0_1","Chapter"
"Special Report 1: A Study of China’s Energy Supply Revolution","China's Energy Revolution in the Context of the Global Energy Transition","","","","10.1007/978-3-030-40154-2_2","Wang XiaomingNie ShangyouWang Yunshi","2020","http://link.springer.com/chapter/10.1007/978-3-030-40154-2_2","Chapter"
"A novel digital twin-centric approach for driver intention prediction and traffic congestion avoidance","Journal of Reliable Intelligent Environments","","4","4","10.1007/s40860-018-0069-y","Sathish A. P. KumarR. MadhumathiPethuru Raj ChelliahLei TaoShangguang Wang","2018","http://link.springer.com/article/10.1007/s40860-018-0069-y","Article"
"The Opportunities of Blockchain in Health 4.0","Blockchain Technology for Industry 4.0","","","","10.1007/978-981-15-1137-0_8","Prateeti MukherjeeDhananjay Singh","2020","http://link.springer.com/chapter/10.1007/978-981-15-1137-0_8","Chapter"
"Blockchain Applications in Healthcare – A Review and Future Perspective","Blockchain – ICBC 2020","","","","10.1007/978-3-030-59638-5_14","Naga Ramya Sravanthi NarikimilliAnup KumarAntara Debnath AntuBin Xie","2020","http://link.springer.com/chapter/10.1007/978-3-030-59638-5_14","Chapter"
"A QoS optimization system for complex data cross-domain request based on neural blockchain structure","Neural Computing and Applications","","","","10.1007/s00521-019-04062-7","Lianbing DengDaming LiZhiming CaiXiang Yao","2019","http://link.springer.com/article/10.1007/s00521-019-04062-7","Article"
"Alibaba Pictures: An Illustration of Changing Business Cultures and Film Finance","Online Film Production in China Using Blockchain and Smart Contracts","","","","10.1007/978-3-030-02468-0_5","Patrice Poujol","2019","http://link.springer.com/chapter/10.1007/978-3-030-02468-0_5","Chapter"
"A Survey: Applications of Blockchains in the Internet of Vehicles","Wireless Algorithms, Systems, and Applications","","","","10.1007/978-3-030-59016-1_38","Chao WangXiaoman ChengJitong LiYunhua HeKe Xiao","2020","http://link.springer.com/chapter/10.1007/978-3-030-59016-1_38","Chapter"
"Blockchain Paradigm and Internet of Things","Wireless Personal Communications","","106","1","10.1007/s11277-019-06270-9","Valentin RakovicJovan KaramachoskiVladimir AtanasovskiLiljana Gavrilovska","2019","http://link.springer.com/article/10.1007/s11277-019-06270-9","Article"
"The Application of Blockchain Technology in the Maritime Industry","Green IT Engineering: Social, Business and Industrial Applications","","","","10.1007/978-3-030-00253-4_24","Karen CzachorowskiMarina SolesvikYuriy Kondratenko","2019","http://link.springer.com/chapter/10.1007/978-3-030-00253-4_24","Chapter"
